Image Name,Height,Width,Ratio
contempt/images - 2020-11-06T004138.594_face.png,7.071,39.205,5.544
contempt/images - 2020-11-06T004144.302_face.png,6.576,40.112,6.099
contempt/images - 2020-11-06T004441.833_face.png,8.062,42.107,5.223
contempt/images - 2020-11-06T004531.304_face.png,9.192,29.411,3.199
contempt/images - 2020-11-06T004649.092_face.png,6.083,30.067,4.943
contempt/images - 2020-11-06T005533.290_face.png,8.0,43.046,5.381
contempt/images - 2020-11-06T005535.938_face.png,6.021,37.054,6.154
contempt/images - 2020-11-06T005614.026_face.png,6.576,33.061,5.027
contempt/images - 2020-11-06T181631.051_face.png,8.732,39.205,4.49
contempt/images - 2020-11-06T181634.777_face.png,8.016,38.013,4.742
contempt/images - 2020-11-06T181648.986_face.png,8.0,38.118,4.765
contempt/images - 2020-11-06T181650.138_face.png,9.5,29.069,3.06
contempt/images - 2020-11-06T181659.755_face.png,12.54,43.046,3.433
contempt/images - 2020-11-06T181704.632_face.png,9.513,40.112,4.217
contempt/images - 2020-11-06T181708.852_face.png,8.246,35.511,4.306
contempt/images - 2020-11-06T181713.718_face.png,4.243,26.926,6.346
contempt/images - 2020-11-06T181718.935_face.png,9.552,35.0,3.664
contempt/images - 2020-11-06T181724.408_face.png,8.062,38.328,4.754
contempt/images - 2020-11-06T181726.222_face.png,5.385,37.855,7.029
contempt/images - 2020-11-06T181726.878_face.png,8.515,39.051,4.586
contempt/images - 2020-11-06T181730.636_face.png,8.139,38.118,4.683
contempt/images - 2020-11-06T181732.773_face.png,12.54,38.21,3.047
contempt/images - 2020-11-06T181733.108_face.png,7.566,40.112,5.301
contempt/images - 2020-11-06T181734.341_face.png,10.05,46.098,4.587
contempt/images - 2020-11-06T181737.512_face.png,8.0,44.0,5.5
contempt/images - 2020-11-06T181741.615_face.png,13.038,40.012,3.069
contempt/images - 2020-11-06T181745.000_face.png,7.071,38.328,5.42
contempt/images - 2020-11-06T181746.931_face.png,8.246,40.311,4.888
contempt/images - 2020-11-06T181748.464_face.png,9.552,32.14,3.365
contempt/images - 2020-11-06T181753.429_face.png,6.0,34.059,5.676
contempt/images - 2020-11-06T181757.118_face.png,9.341,45.541,4.876
contempt/images - 2020-11-06T181758.699_face.png,5.852,38.328,6.549
contempt/images - 2020-11-06T181801.537_face.png,8.559,40.012,4.675
contempt/images - 2020-11-06T181801.826_face.png,12.01,42.012,3.498
contempt/images - 2020-11-06T181804.973_face.png,8.559,36.222,4.232
contempt/images - 2020-11-06T181805.878_face.png,5.025,34.015,6.769
contempt/images - 2020-11-06T181807.071_face.png,9.552,33.061,3.461
contempt/images - 2020-11-06T181807.704_face.png,7.28,38.833,5.334
contempt/images - 2020-11-06T181817.239_face.png,9.22,33.734,3.659
contempt/images - 2020-11-06T181818.525_face.png,8.5,35.057,4.124
contempt/images - 2020-11-06T181821.355_face.png,9.552,36.346,3.805
contempt/images - 2020-11-06T181825.196_face.png,11.673,39.115,3.351
contempt/images - 2020-11-06T181826.100_face.png,11.597,38.053,3.281
